target_col,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,Unnamed: 56,source_file,thanks.stopped,Unnamed: 46,Unnamed: 44,Unnamed: 54
red,2.0,2.0,0.0,[0.20055555555555554],[-0.10055555555555555],[1],[0],[0],[1.544093200000134],"['target', 'target']",0.0,2.0,2.0,2.0,10.012433999999304,,,,,,,,,,,10.000440199999504,10.012433999999304,0.0578688000005058,10.012433999999304,10.012433999999304,10.012433999999304,11.545660899999348,[0.20055555555555554],[-0.10055555555555555],[1],[0],[0],[1.544093200000134],"['target', 'target']",11.56308849999914,11.567637699999976,11.567637699999976,12.558807499999602,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,3.0,0.0,1.0,[-0.15333333333333332],[0.18666666666666668],[1],[0],[0],[1.3933900000001813],"['target', 'target']",1.0,0.0,3.0,0.0,12.611474299999829,,,,,,,,,,,12.598708299999998,12.611474299999829,0.0526945000001433,12.611474299999829,12.611474299999829,12.611474299999829,13.993891099999928,[-0.15333333333333332],[0.18666666666666668],[1],[0],[0],[1.3933900000001813],"['target', 'target']",14.00416309999946,14.008562399999391,14.008562399999391,14.993991199999982,15.05086239999946,15.05086239999946,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,4.0,1.0,1.0,[-0.0044444444444444444],[0.10111111111111111],[1],[0],[0],[1.2903355999997075],"['target', 'target']",1.0,1.0,4.0,1.0,15.05086239999946,,,,,,,,,,,15.03890339999998,15.05086239999946,0.044666199999483,15.05086239999946,15.05086239999946,15.05086239999946,16.33023669999966,[-0.0044444444444444444],[0.10111111111111111],[1],[0],[0],[1.2903355999997075],"['target', 'target']",16.339706699999624,16.34500449999996,16.34500449999996,17.34325439999975,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
red,5.0,2.0,1.0,[-0.11944444444444445],[-0.08333333333333333],[1],[0],[0],[1.5687041999999565],"['target', 'target']",1.0,2.0,5.0,2.0,17.404787799999212,,,,,,,,,,,17.392580599999746,17.404787799999212,0.0621292000005269,17.404787799999212,17.404787799999212,17.404787799999212,18.962289099999907,[-0.11944444444444445],[-0.08333333333333333],[1],[0],[0],[1.5687041999999565],"['target', 'target']",18.97176939999917,18.97765369999979,18.97765369999979,19.96323769999981,20.018446799999765,20.018446799999765,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
red,6.0,0.0,2.0,[0.03722222222222222],[0.042777777777777776],[1],[0],[0],[1.3384476000001087],"['target', 'target']",2.0,0.0,6.0,2.0,20.018446799999765,,,,,,,,,,,20.00603129999945,20.018446799999765,0.0434371000001192,20.018446799999765,20.018446799999765,20.018446799999765,21.345534000000043,[0.03722222222222222],[0.042777777777777776],[1],[0],[0],[1.3384476000001087],"['target', 'target']",21.353827299999462,21.359982499999205,21.359982499999205,22.34661379999943,22.40735129999939,22.40735129999939,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,7.0,1.0,2.0,[0.045],[-0.1288888888888889],[1],[0],[0],[1.3513446000006297],"['target', 'target']",2.0,1.0,7.0,0.0,22.40735129999939,,,,,,,,,,,22.394959799999924,22.40735129999939,0.0491547999999966,22.40735129999939,22.40735129999939,22.40735129999939,23.7479186999999,[0.045],[-0.1288888888888889],[1],[0],[0],[1.3513446000006297],"['target', 'target']",23.75656429999981,23.761829099999886,23.761829099999886,24.747786599999927,24.800646400000005,24.800646400000005,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,8.0,2.0,2.0,[-0.1411111111111111],[-0.16777777777777778],[1],[0],[0],[1.2446373000002495],"['target', 'target']",2.0,2.0,8.0,1.0,24.800646400000005,,,,,,,,,,,24.787279499999386,24.800646400000005,0.0391147999998793,24.800646400000005,24.800646400000005,24.800646400000005,26.03296599999976,[-0.1411111111111111],[-0.16777777777777778],[1],[0],[0],[1.2446373000002495],"['target', 'target']",26.04309209999974,26.04995119999967,26.04995119999967,27.04656049999994,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
red,9.0,0.0,3.0,[0.09555555555555556],[-0.12944444444444445],[1],[0],[0],[1.260494699999981],"['target', 'target']",3.0,0.0,9.0,2.0,27.098609299999225,,,,,,,,,,,27.08640379999997,27.098609299999225,0.0532051000000137,27.098609299999225,27.098609299999225,27.098609299999225,28.34780409999985,[0.09555555555555556],[-0.12944444444444445],[1],[0],[0],[1.260494699999981],"['target', 'target']",28.356298499999863,28.362647099999776,28.362647099999776,29.34732269999949,29.398184699999547,29.398184699999547,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,10.0,1.0,3.0,[0.235],[-0.15888888888888889],[1],[0],[0],[1.662614400000166],"['target', 'target']",3.0,1.0,10.0,1.0,29.398184699999547,,,,,,,,,,,29.385341199999857,29.398184699999547,0.0372013000005608,29.398184699999547,29.398184699999547,29.398184699999547,31.048918699999376,[0.235],[-0.15888888888888889],[1],[0],[0],[1.662614400000166],"['target', 'target']",31.0570103,31.06332619999921,31.06332619999921,32.04925469999944,32.10067789999994,32.10067789999994,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,11.0,2.0,3.0,[-0.17444444444444446],[-0.03277777777777778],[1],[0],[0],[1.5642688999996608],"['target', 'target']",3.0,2.0,11.0,0.0,32.10067789999994,,,,,,,,,,,32.0871819999993,32.10067789999994,0.0380501999998159,32.10067789999994,32.10067789999994,32.10067789999994,33.65255669999988,[-0.17444444444444446],[-0.03277777777777778],[1],[0],[0],[1.5642688999996608],"['target', 'target']",33.661893399999826,33.66904559999966,33.66904559999966,34.66554149999956,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
