PlayerID,Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)",source_file
Player_2,2026-02-06T19:14:07.133614,multipleTargets,13,1095,True,100.0,100.0,0,1811,1589,"(130.81,4.31);(74.26,12.23);(46.73,32.31);(100.34,418.06);(112.32,452.12);(238.93,520.48);(214.16,446.78);(94.83,136.01);(115.25,31.27);(58.27,46.26);(10.55,8.00);(241.87,215.70);(227.47,120.25);(239.54,66.60)",22_attentional_spotter_results.csv
Player_2,2026-02-06T19:14:35.496708,multipleTargets,14,1240,False,94.12,93.75,1,1753,1414,"(93.40,7.99);(4.60,65.06);(150.73,10.80);(291.47,12.10);(236.10,133.03);(238.27,93.11);(62.39,166.52);(22.91,58.88);(177.89,15.30);(300.41,58.84);(61.14,66.74);(72.94,319.05);(219.99,615.66);(196.13,591.90);(267.54,384.44)",22_attentional_spotter_results.csv
Player_2,2026-02-06T19:18:32.131507,multipleTargets,1,50,True,75.0,100.0,2,6742,1058,"(139.98,248.81);(284.92,196.27);(239.19,319.79);(292.93,445.36);(81.13,528.18);(141.68,577.01)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:18:45.109042,multipleTargets,2,130,True,100.0,100.0,0,1067,396,"(253.97,152.61);(293.30,151.95);(65.83,105.33);(91.16,290.27);(197.82,346.73);(156.26,485.38);(187.10,578.39);(215.77,580.80)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:19:06.872621,multipleTargets,3,210,True,100.0,100.0,0,1554,409,"(46.32,224.94);(195.60,228.59);(182.45,391.08);(79.78,414.18);(160.35,501.23);(136.23,556.09);(291.87,575.41);(264.62,360.06)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:19:29.669016,multipleTargets,4,310,True,100.0,100.0,0,1706,1142,"(164.54,150.46);(37.93,136.25);(120.95,478.64);(156.49,363.52);(178.71,391.57);(161.11,356.56);(290.15,469.91);(3.20,291.11);(208.82,525.46);(284.57,268.46)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:20:02.333698,multipleTargets,5,400,True,100.0,100.0,0,1651,811,"(170.13,327.73);(169.28,392.85);(59.81,288.72);(204.02,332.18);(299.63,239.14);(174.93,193.47);(32.17,206.57);(153.87,239.04);(300.74,485.60)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:20:22.756697,multipleTargets,6,500,True,100.0,100.0,0,1243,811,"(209.05,276.50);(142.56,259.07);(170.71,258.15);(185.87,231.00);(229.13,321.39);(163.33,46.39);(316.74,14.07);(65.12,184.94);(189.21,277.52);(215.12,207.97)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:20:49.984858,multipleTargets,7,610,True,85.71,100.0,2,1320,1363,"(202.61,283.79);(160.94,193.40);(313.04,236.85);(153.03,420.28);(42.67,318.82);(44.14,397.90);(117.78,438.21);(252.00,449.10);(311.96,530.72);(128.56,289.66);(152.66,130.51);(98.99,168.26)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:21:13.337814,multipleTargets,8,710,True,100.0,100.0,0,1681,1187,"(89.59,276.43);(19.52,9.66);(148.53,83.62);(229.44,48.03);(291.30,174.82);(301.31,247.23);(105.63,173.30);(194.93,456.72);(252.48,387.10);(59.25,480.39)",23_attentional_spotter_results.csv
